CUSTOMER_ID,EMPLOYEE_SIZE,CUSTOMER_SEGMENT
H00445029,26 to 200,International Direct
H00445087,1 to 25,NAM Unowned
H00445122,1 to 25,NAM Low-Touch
H00445123,1 to 25,NAM Unowned
H00445140,1 to 25,NAM Unowned
H00445155,26 to 200,NAM Low-Touch
H00445254,1 to 25,NAM Direct
H0044529,26 to 200,NAM Low-Touch
H0044557,26 to 200,NAM Low-Touch
H0044576,26 to 200,NAM Low-Touch
H0044582,26 to 200,NAM Low-Touch
H0044604,26 to 200,International Direct
H0044643,201 or Above,International Low-touch
H0044827,201 or Above,NAM High-touch
H0044858,1 to 25,NAM Partner
H0044862,26 to 200,NAM Low-Touch
H0044885,26 to 200,NAM Direct
H0044907,1 to 25,NAM High-touch
H0044911,201 or Above,NAM Direct
H0044915,201 or Above,International Direct
H0044986,1 to 25,NAM Partner
H0044989,1 to 25,NAM Direct
H0045000,201 or Above,NAM Low-Touch
H0045004,201 or Above,NAM Direct
H0045155,1 to 25,NAM Partner
H0045168,26 to 200,NAM Partner
H0045240,26 to 200,NAM Low-Touch
H0045352,1 to 25,NAM Low-Touch
H0045364,26 to 200,NAM Partner
H0045370,26 to 200,International Partner
H0045421,1 to 25,International Partner
H0045433,26 to 200,NAM Low-Touch
H0045529,1 to 25,NAM Direct
H0045546,1 to 25,International Direct
H0045552,26 to 200,International Direct
H0045557,26 to 200,NAM Low-Touch
H0045593,26 to 200,NAM Low-Touch
H0045661,26 to 200,NAM Low-Touch
H0045703,1 to 25,NAM Partner
H0045781,1 to 25,NAM Low-Touch
H0045855,26 to 200,NAM Direct
H0045977,1 to 25,NAM Low-Touch
H0046087,1 to 25,International Partner
H0046124,201 or Above,International Low-touch
H0046214,26 to 200,NAM Direct
H0046388,26 to 200,NAM Low-Touch
H0046602,26 to 200,NAM Direct
H0046617,26 to 200,NAM Low-Touch
H0046937,1 to 25,NAM Low-Touch
H0047325,1 to 25,NAM High-touch
H0047468,201 or Above,International Direct
H0047638,26 to 200,NAM Low-Touch
H0047729,26 to 200,International Direct
H0048162,201 or Above,NAM Low-Touch
H0048568,1 to 25,International Partner
H0048691,1 to 25,International Low-touch
H0048970,1 to 25,NAM Partner
H0049533,Undefined,International Direct
H0049816,1 to 25,International Partner
H00541265,26 to 200,NAM Low-Touch
H00541283,26 to 200,NAM Low-Touch
H00541839,201 or Above,NAM Direct
H00541906,26 to 200,International Direct
H00542150,1 to 25,NAM Low-Touch
H00542187,1 to 25,NAM Low-Touch
H00542199,1 to 25,NAM Partner
H00542240,1 to 25,International Direct
H00542285,26 to 200,NAM Direct
H00542305,1 to 25,International Low-touch
H00542317,1 to 25,NAM Direct
H00542349,Undefined,International Partner
H00542363,26 to 200,NAM Direct
H00542403,1 to 25,International Direct
H00542418,201 or Above,NAM Direct
H00542464,1 to 25,NAM Unowned
H00542558,201 or Above,International Direct
H00542565,1 to 25,NAM Direct
H00542579,26 to 200,NAM Low-Touch
H00542581,26 to 200,International Direct
H00542582,1 to 25,International Low-touch
H00542595,1 to 25,NAM Low-Touch
H00542604,26 to 200,NAM High-touch
